epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9340.82,1.70182,4.05087,1.92208,0.58956,0.13819,0.11443,0.04207,1.85952,4.23875,2.49068,0.000208046,0.000208046,0.000208046
2,19444.9,1.72234,3.22437,1.94537,0.19735,0.15717,0.12282,0.04328,1.89769,4.03019,2.45907,0.000408135,0.000408135,0.000408135
3,29113.6,1.73646,2.91836,1.95197,0.20798,0.18369,0.11527,0.04399,1.80054,4.01636,2.38991,0.000599974,0.000599974,0.000599974
4,75973.1,1.74394,2.76793,1.94561,0.19947,0.17973,0.14437,0.05818,1.84474,4.37144,2.41994,0.000587875,0.000587875,0.000587875
